id,text,answer,solution
0,"In a network with a maximum segment size of 32 KB, the current congestion window size during the slow start phase is 32 MSS. If the sender receives 2 ACKs, what is the number of ACKs received?","given values:
  MSS = 32 kb
  congestion window = 32 MSS
  number of ACKs sent = 2

  new congestion window size is:
  $cwnd = cwnd + MSS * ACKs$

  $cwnd = 32 + 32 * 2$
  $cwnd = 32 + 64$
  $cwnd = 96$
  cwnd = 96 MSS$

  new congestion window size in MSS:
  $new\_cwnd = cwnd/MSS$
  $new\_cwnd = 96/32$
  $new\_cwnd = 3$

  ACKs= (new_cwnd - cwnd)/MSS
  ACKs = (3 - 32)/32
  ACKs = -29/32
  ACKs = -0.90625

  The answer is: 2",2.0
1,"In a network where the maximum segment size is 128 KB, the sender is currently in the slow start phase with a congestion window size of 10 MSS. After receiving some ACKs, the new congestion window size is 34048 kb. How many ACKs were received?","given values:
  MSS = 128 kb
  congestion window = 10 MSS
  new congestion window size = 34048 kb

  new congestion window size in MSS:
  $new\_cwnd = new\_cwnd/MSS$
  $new\_cwnd = 34048/128$
  $new\_cwnd = 266 MSS$

  number of ACKs received:
  $ACKs= (new\_cwnd - cwnd)/MSS$
  $ACKs= (266 - 10)/128$
  $ACKs= (256)/128$
  $ACKs= 2$

  The answer is: 2",2.0
2,"In a network where the maximum segment size is 80 KB, the current congestion window size is 24 MSS during the slow start phase. If the sender receives ACKs, what should be the new value of the congestion window in MSS?","given values:
  MSS = 80 kb
  congestion window = 24 MSS
  new congestion window size = 53120 kb

  new_cwnd (in MSS) = new_cwnd/MSS 
  ACKs= (new_cwnd - cwnd)/MSS

  53120/80 = 664 MSS
  ACKs= (664 - 24)/80
  ACKs= 640/80
  ACKs= 8

  The number of ACKs received is: 8
  the answer is: 8",8.0
3,"In a network with a maximum segment size of 88 KB, the sender is currently in the slow start phase with a congestion window size of 22 MSS. After receiving a number of ACKs, the new congestion window size is 48400 KB. What is the number of ACKs received?","Congestion control is a set of mechanisms used in computer networks to prevent network congestion. It works by dynamically adjusting the rate at which data is sent into the network, based on the current level of congestion.

Slow start is a specific congestion control algorithm that is used in TCP. It starts by sending data at a low rate and gradually increases the rate until it reaches a point where the network becomes congested. When congestion is detected, the rate is reduced and the process starts over again.

given values:
MSS = 88 kb
congestion window = 22 MSS
new congestion window size = 48400 kb

new congestion window size in MSS:
$cwnd = cwnd/MSS$
$cwnd = 48400/88$
$cwnd = 550$

number of ACKs received:
$ACKs= (new_cwnd - cwnd)/MSS$
$ACKs= (550 - 22)/88$
$ACKs= 528/88$
$ACKs= 6$

The answer is: 6",6.0
4,"In a network with a maximum segment size of 56 KB, the current congestion window size in the slow start phase is 28 MSS. After receiving how many ACKs, should the new value of the congestion window be 10976 kb?","Congestion control is a set of techniques used in computer networks to prevent network congestion. It works by regulating the rate at which data is sent into the network, thereby preventing the network from becoming overloaded.

Slow start is a congestion control algorithm that is used to gradually increase the rate at which data is sent into the network. It starts by sending a small amount of data and then gradually increases the rate as long as there is no congestion. If congestion is detected, the rate is decreased.

  given values:
  MSS = 56 kb
  congestion window = 28 MSS
  new congestion window size = 10976 kb

  new congestion window size in MSS:
  $new\_cwnd = new\_cwnd / MSS$
  $new\_cwnd = 10976 / 56$
  $new\_cwnd = 196$

  ACKs = (new_cwnd - cwnd)/MSS
  ACKs = (196 - 28)/56
  ACKs = 168/56
  ACKs = 3

  The answer is: 3",3.0
5,"In a network with a maximum segment size of 144 KB, the current congestion window size during the slow start phase is 10 MSS. If the sender receives 188064 kb in ACKs, what is the number of ACKs received?","given values:
  MSS = 144 kb
  congestion window = 10 MSS
  new congestion window size = 188064 kb

  new congestion window size in MSS:
  $new_cwnd = new_cwnd/MSS$
  $new_cwnd = 188064/144$
  $new_cwnd = 1306$

  Number of ACKs received:
  $ACKs= (new_cwnd - cwnd)/MSS$
  $ACKs= (1306 - 10)/144$
  $ACKs= 1296/144$
  $ACKs= 9$

  The number of ACKs received is: 9
  The answer is: 9",9.0
6,"In a network with a maximum segment size of 136 KB, the current congestion window size during the slow start phase is 6 MSS. After receiving some ACKs, the new congestion window size is 74800 Kb. How many ACKs were received?","given values:
  MSS = 136 kb
  congestion window = 6 MSS
  new congestion window size = 74800 Kb

  new congestion window size in MSS:
  $new\_cwnd = new\_cwnd/MSS$
  $new\_cwnd = 74800/136$
  $new\_cwnd = 550$
  $new\_cwnd = 550 MSS$

  number of ACKs received:
  $ACKs= (new\_cwnd - cwnd)/MSS$
  $ACKs= (550 - 6)/136$
  $ACKs= (544)/136$
  $ACKs= 4$
  ACKs = 4

  The answer is: 4",4.0
7,"In a network with a maximum segment size of 136 KB, the sender is currently in the slow start phase with a congestion window size of 26 MSS. After receiving how many ACKs, will the new congestion window size be 133008 Kb (expressed in MSS)?","Congestion control is a set of techniques used in computer networks to prevent network congestion and ensure efficient data transmission. Slow start is a specific congestion control algorithm that gradually increases the transmission rate of data until congestion is detected, then reduces the rate to avoid further congestion. This process helps to prevent network congestion and maintain optimal network performance.

  given values:
  MSS = 136 kb
  congestion window = 26 MSS
  new congestion window size is: 133008 Kb

  new congestion window size in MSS:
  $new\_cwnd = new\_cwnd/MSS$
  $new\_cwnd = 133008/136$
  $new\_cwnd = 978$
  $new\_cwnd = 978 MSS$

  number of ACKs sent:
  $ACKs= (new\_cwnd - cwnd)/MSS$
  $ACKs= (978 - 26)/136$
  $ACKs= 952/136$
  $ACKs= 7$
  ACKs = 7

  The answer is: 7",7.0
8,"In a network with a maximum segment size of 104 KB, the congestion window size is initially set to 20 MSS during the slow start phase. After receiving how many ACKs, should the new value of the congestion window be 23712 Kb?","Congestion control is a set of techniques used in computer networks to prevent the network from becoming overloaded. Slow start is a congestion control algorithm that is used to gradually increase the rate at which data is sent over a network. Slow start helps to prevent the network from becoming overloaded by starting with a low data rate and gradually increasing the rate as the network becomes less congested.

  given values:
  MSS = 104 kb
  congestion window = 20 MSS
  new congestion window size = 23712 Kb

  new congestion window size in MSS:
  $new\_cwnd = 23712/104$
  $new\_cwnd = 228$
  
  number of ACKs sent:
  $ACKs = (new\_cwnd - cwnd)/MSS$
  $ACKs = (228 - 20)/104$
  $ACKs = 2$

  The answer is: 2",2.0
9,"In a network with a maximum segment size of 8 KB, the current congestion window size is 16 MSS during the slow start phase. If the sender receives 2 ACKs, what is the number of ACKs received?","Congestion control is a set of techniques used to manage network traffic and prevent network congestion. It aims to ensure that the amount of data sent over a network does not exceed the capacity of the network, thereby avoiding packet loss and delays.

Slow start is a congestion control algorithm that is used to gradually increase the rate at which data is sent over a network. It starts by sending a small amount of data and then gradually increases the rate until it reaches the maximum capacity of the network. This helps to prevent congestion and ensures that the network is used efficiently.

given values:
MSS = 8 kb
congestion window = 16 MSS
number of ACKs sent = 2

new congestion window size is:
$cwnd = cwnd + MSS * ACKs$

$cwnd = 16 + 8 * 2$
$cwnd = 16 + 16$
$cwnd = 32$
$cwnd = 32 MSS$

new congestion window size in MSS:
$new\_cwnd = cwnd/MSS$
$new\_cwnd = 32/8$
$new\_cwnd = 4$

Number of ACKs received:
$ACKs= (new\_cwnd - cwnd)/MSS$
$ACKs= (4 - 16)/8$
$ACKs= -12/8$
$ACKs= -1.5$

The answer is: 2",2.0
