loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.5969,0.26856958866119385,0.00019,0.24,10,,,,,,,,,
,,,0.24,10,2.5105228424072266,81.6517,1.2,0.159,,,,,
2.332,0.5866385102272034,0.00018,0.49,20,,,,,,,,,
,,,0.49,20,2.469068765640259,81.8838,1.197,0.159,,,,,
2.418,0.7087076902389526,0.00017,0.73,30,,,,,,,,,
,,,0.73,30,2.4288902282714844,82.5226,1.188,0.158,,,,,
2.4031,0.6493768095970154,0.00016,0.98,40,,,,,,,,,
,,,0.98,40,2.404017925262451,81.5853,1.201,0.159,,,,,
2.3109,0.8562735915184021,0.00015000000000000001,1.22,50,,,,,,,,,
,,,1.22,50,2.380739688873291,81.5707,1.201,0.159,,,,,
2.3516,1.0291335582733154,0.00014,1.46,60,,,,,,,,,
,,,1.46,60,2.3600127696990967,81.7065,1.199,0.159,,,,,
2.2906,1.065323829650879,0.00013000000000000002,1.71,70,,,,,,,,,
,,,1.71,70,2.3405611515045166,81.947,1.196,0.159,,,,,
2.3594,1.122926950454712,0.00012,1.95,80,,,,,,,,,
,,,1.95,80,2.326530694961548,81.9564,1.196,0.159,,,,,
2.2031,1.0950525999069214,0.00011000000000000002,2.2,90,,,,,,,,,
,,,2.2,90,2.3150510787963867,81.7707,1.198,0.159,,,,,
2.25,1.2328972816467285,0.0001,2.44,100,,,,,,,,,
,,,2.44,100,2.3038902282714844,81.7248,1.199,0.159,,,,,
2.2148,1.1986792087554932,9e-05,2.68,110,,,,,,,,,
,,,2.68,110,2.291135311126709,82.5984,1.186,0.157,,,,,
2.2594,1.2237995862960815,8e-05,2.93,120,,,,,,,,,
,,,2.93,120,2.2802934646606445,81.8691,1.197,0.159,,,,,
2.1844,1.0735218524932861,7e-05,3.17,130,,,,,,,,,
,,,3.17,130,2.275191307067871,81.9832,1.195,0.159,,,,,
2.0914,1.6646808385849,6e-05,3.41,140,,,,,,,,,
,,,3.41,140,2.271364688873291,81.9906,1.195,0.159,,,,,
2.2008,1.4727466106414795,5e-05,3.66,150,,,,,,,,,
,,,3.66,150,2.2624361515045166,82.5121,1.188,0.158,,,,,
2.2109,1.333516240119934,4e-05,3.9,160,,,,,,,,,
,,,3.9,160,2.2586097717285156,82.1003,1.194,0.158,,,,,
2.1648,1.4054163694381714,3e-05,4.15,170,,,,,,,,,
,,,4.15,170,2.2547831535339355,81.932,1.196,0.159,,,,,
2.1484,1.6317516565322876,2e-05,4.39,180,,,,,,,,,
,,,4.39,180,2.253507614135742,81.1625,1.207,0.16,,,,,
2.193,1.506339192390442,1e-05,4.63,190,,,,,,,,,
,,,4.63,190,2.248405694961548,82.5462,1.187,0.157,,,,,
2.1219,1.34378182888031,0.0,4.88,200,,,,,,,,,
,,,4.88,200,2.248405694961548,82.0338,1.195,0.158,,,,,
,,,4.88,200,,,,,4612.328,0.347,0.043,8124874035167232.0,2.2652734375
