loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.7967,0.4538211226463318,0.00019,0.22,10,,,,,,,,,
,,,0.22,10,2.7778854370117188,86.1845,1.207,0.151,,,,,
2.5905,0.6332218050956726,0.00018,0.44,20,,,,,,,,,
,,,0.44,20,2.5529825687408447,86.7225,1.199,0.15,,,,,
2.3863,0.5775889158248901,0.00017,0.67,30,,,,,,,,,
,,,0.67,30,2.4699015617370605,86.5301,1.202,0.15,,,,,
2.3334,1.7702033519744873,0.00016,0.89,40,,,,,,,,,
,,,0.89,40,2.3923306465148926,86.6957,1.2,0.15,,,,,
2.313,1.0327253341674805,0.00015000000000000001,1.11,50,,,,,,,,,
,,,1.11,50,2.341766834259033,86.7341,1.199,0.15,,,,,
2.0965,1.3304615020751953,0.00014,1.33,60,,,,,,,,,
,,,1.33,60,2.290248394012451,85.9902,1.209,0.151,,,,,
2.2402,1.7222487926483154,0.00013000000000000002,1.56,70,,,,,,,,,
,,,1.56,70,2.2598536014556885,86.3685,1.204,0.151,,,,,
2.213,1.3840893507003784,0.00012,1.78,80,,,,,,,,,
,,,1.78,80,2.2329213619232178,85.9892,1.209,0.151,,,,,
2.1118,1.6633964776992798,0.00011000000000000002,2.0,90,,,,,,,,,
,,,2.0,90,2.214195489883423,86.7215,1.199,0.15,,,,,
2.071,0.922874927520752,0.0001,2.22,100,,,,,,,,,
,,,2.22,100,2.196885108947754,86.3845,1.204,0.15,,,,,
2.0024,1.0576446056365967,9e-05,2.44,110,,,,,,,,,
,,,2.44,110,2.184649705886841,86.0016,1.209,0.151,,,,,
2.0814,0.9244798421859741,8e-05,2.67,120,,,,,,,,,
,,,2.67,120,2.1692445278167725,86.4343,1.203,0.15,,,,,
2.0853,0.9696695804595947,7e-05,2.89,130,,,,,,,,,
,,,2.89,130,2.153984308242798,86.535,1.202,0.15,,,,,
1.9573,0.9930398464202881,6e-05,3.11,140,,,,,,,,,
,,,3.11,140,2.14188814163208,86.1334,1.207,0.151,,,,,
1.9231,1.1281310319900513,5e-05,3.33,150,,,,,,,,,
,,,3.33,150,2.1358449459075928,86.5888,1.201,0.15,,,,,
1.921,1.7450581789016724,4e-05,3.56,160,,,,,,,,,
,,,3.56,160,2.1239583492279053,86.7296,1.199,0.15,,,,,
1.9618,1.3611421585083008,3e-05,3.78,170,,,,,,,,,
,,,3.78,170,2.1165778636932373,86.2333,1.206,0.151,,,,,
2.0817,1.6593385934829712,2e-05,4.0,180,,,,,,,,,
,,,4.0,180,2.1120083332061768,86.0045,1.209,0.151,,,,,
2.0458,1.2127920389175415,1e-05,4.22,190,,,,,,,,,
,,,4.22,190,2.1102287769317627,86.0664,1.208,0.151,,,,,
1.9076,1.3315191268920898,0.0,4.44,200,,,,,,,,,
,,,4.44,200,2.109163522720337,86.0166,1.209,0.151,,,,,
,,,4.44,200,,,,,4703.7093,0.34,0.043,8022704573644800.0,2.1559863758087157
