loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.4364,1.7988090515136719,0.00019,0.24,10,,,,,,,,,
,,,0.24,10,2.796159505844116,15.538,1.223,0.193,,,,,
2.2222,1.820954442024231,0.00018,0.48,20,,,,,,,,,
,,,0.48,20,2.4040563106536865,15.6663,1.213,0.191,,,,,
2.1079,2.7683463096618652,0.00017,0.71,30,,,,,,,,,
,,,0.71,30,2.2806215286254883,15.6436,1.215,0.192,,,,,
2.1613,2.1440508365631104,0.00016,0.95,40,,,,,,,,,
,,,0.95,40,2.2341620922088623,15.5951,1.218,0.192,,,,,
1.9851,1.867498755455017,0.00015000000000000001,1.19,50,,,,,,,,,
,,,1.19,50,2.2150192260742188,15.6901,1.211,0.191,,,,,
1.9788,1.9682540893554688,0.00014,1.43,60,,,,,,,,,
,,,1.43,60,2.1972148418426514,15.5989,1.218,0.192,,,,,
1.957,1.897873044013977,0.00013000000000000002,1.67,70,,,,,,,,,
,,,1.67,70,2.1927430629730225,15.6921,1.211,0.191,,,,,
1.8551,2.2255990505218506,0.00012,1.9,80,,,,,,,,,
,,,1.9,80,2.184548854827881,15.6008,1.218,0.192,,,,,
1.6501,2.268418312072754,0.00011000000000000002,2.14,90,,,,,,,,,
,,,2.14,90,2.1866257190704346,15.6507,1.214,0.192,,,,,
1.8151,2.359886646270752,0.0001,2.38,100,,,,,,,,,
,,,2.38,100,2.18198561668396,15.7002,1.21,0.191,,,,,
1.7068,2.9777870178222656,9e-05,2.62,110,,,,,,,,,
,,,2.62,110,2.1768112182617188,15.6843,1.211,0.191,,,,,
1.7504,2.6712825298309326,8e-05,2.86,120,,,,,,,,,
,,,2.86,120,2.1873128414154053,15.6957,1.211,0.191,,,,,
1.7913,2.6370887756347656,7e-05,3.1,130,,,,,,,,,
,,,3.1,130,2.1997175216674805,15.6524,1.214,0.192,,,,,
1.69,3.1133930683135986,6e-05,3.33,140,,,,,,,,,
,,,3.33,140,2.2391538619995117,15.6968,1.21,0.191,,,,,
1.6094,2.9660913944244385,5e-05,3.57,150,,,,,,,,,
,,,3.57,150,2.219635009765625,15.6173,1.217,0.192,,,,,
1.6103,3.1190078258514404,4e-05,3.81,160,,,,,,,,,
,,,3.81,160,2.222195863723755,15.7169,1.209,0.191,,,,,
1.6168,2.9464309215545654,3e-05,4.05,170,,,,,,,,,
,,,4.05,170,2.2291390895843506,15.6843,1.211,0.191,,,,,
1.5723,3.1056594848632812,2e-05,4.29,180,,,,,,,,,
,,,4.29,180,2.246652364730835,15.6579,1.213,0.192,,,,,
1.5749,3.491525650024414,1e-05,4.52,190,,,,,,,,,
,,,4.52,190,2.259349822998047,15.6981,1.21,0.191,,,,,
1.6445,3.5452935695648193,0.0,4.76,200,,,,,,,,,
,,,4.76,200,2.2575011253356934,15.6619,1.213,0.192,,,,,
,,,4.76,200,,,,,3175.9152,0.504,0.063,8592900111728640.0,1.8367903423309326
